time,date,hour,precip [mm/day],KS_53719235 [m3/s]
0,2001-01-01,00:00:00.00,---,0.486143
1,2001-01-02,00:00:00.00,0.9,0.31841
2,2001-01-03,00:00:00.00,0.5,0.0753454
3,2001-01-04,00:00:00.00,0,0.000162217
4,2001-01-05,00:00:00.00,0,0.000261615
5,2001-01-06,00:00:00.00,6.1,0.000675159
6,2001-01-07,00:00:00.00,0.5,0.00106894
7,2001-01-08,00:00:00.00,0,0.000520124
8,2001-01-09,00:00:00.00,0,0.00016769
9,2001-01-10,00:00:00.00,0.6,0.000238957
10,2001-01-11,00:00:00.00,3.4,0.00301925
11,2001-01-12,00:00:00.00,0,0.00748434
12,2001-01-13,00:00:00.00,0,0.00659661
13,2001-01-14,00:00:00.00,0,0.00357468
14,2001-01-15,00:00:00.00,0,0.00225574
15,2001-01-16,00:00:00.00,0,0.000789783
16,2001-01-17,00:00:00.00,0,0.000348287
17,2001-01-18,00:00:00.00,0,0.000283059
18,2001-01-19,00:00:00.00,1.5,0.000128317
19,2001-01-20,00:00:00.00,0,0.000154828
20,2001-01-21,00:00:00.00,0,8.96059e-05
21,2001-01-22,00:00:00.00,0,0.000109616
22,2001-01-23,00:00:00.00,0,8.81411e-05
23,2001-01-24,00:00:00.00,1.2,0.00148633
24,2001-01-25,00:00:00.00,5.8,0.0122308
25,2001-01-26,00:00:00.00,2.8,0.0320035
26,2001-01-27,00:00:00.00,0,0.0405772
27,2001-01-28,00:00:00.00,0,0.0346376
28,2001-01-29,00:00:00.00,0,0.0294585
29,2001-01-30,00:00:00.00,0,0.0261918
30,2001-01-31,00:00:00.00,4.7,0.0227179
31,2001-02-01,00:00:00.00,2.4,0.0201446
32,2001-02-02,00:00:00.00,9.8,0.0178177
33,2001-02-03,00:00:00.00,5.7,0.0158898
34,2001-02-04,00:00:00.00,7,0.0141476
35,2001-02-05,00:00:00.00,9,0.0185629
36,2001-02-06,00:00:00.00,1.8,0.0877623
37,2001-02-07,00:00:00.00,0,0.278103
38,2001-02-08,00:00:00.00,0,0.434775
39,2001-02-09,00:00:00.00,0,0.425979
40,2001-02-10,00:00:00.00,1,0.385749
41,2001-02-11,00:00:00.00,0,0.370429
42,2001-02-12,00:00:00.00,0,0.339538
43,2001-02-13,00:00:00.00,2.6,0.323544
44,2001-02-14,00:00:00.00,0,0.317207
45,2001-02-15,00:00:00.00,0,0.295252
46,2001-02-16,00:00:00.00,0,0.268904
47,2001-02-17,00:00:00.00,0,0.247026
48,2001-02-18,00:00:00.00,1.8,0.228974
49,2001-02-19,00:00:00.00,1.6,0.224585
50,2001-02-20,00:00:00.00,1.2,0.228225
51,2001-02-21,00:00:00.00,1.2,0.225022
52,2001-02-22,00:00:00.00,3.4,0.23034
53,2001-02-23,00:00:00.00,26.6,0.313242
54,2001-02-24,00:00:00.00,10,0.42062
55,2001-02-25,00:00:00.00,0,0.417225
56,2001-02-26,00:00:00.00,0,0.374231
57,2001-02-27,00:00:00.00,0,0.353731
58,2001-02-28,00:00:00.00,0,0.324518
59,2001-03-01,00:00:00.00,0,0.300568
60,2001-03-02,00:00:00.00,0,0.277234
61,2001-03-03,00:00:00.00,0,0.254552
62,2001-03-04,00:00:00.00,11.5,0.234714
63,2001-03-05,00:00:00.00,8.6,0.25048
64,2001-03-06,00:00:00.00,1.1,0.289721
65,2001-03-07,00:00:00.00,0,0.278584
66,2001-03-08,00:00:00.00,1,0.279397
67,2001-03-09,00:00:00.00,7.5,0.441173
68,2001-03-10,00:00:00.00,2.9,0.763388
69,2001-03-11,00:00:00.00,3.1,0.992154
70,2001-03-12,00:00:00.00,1.8,1.00624
71,2001-03-13,00:00:00.00,12.5,1.03909
72,2001-03-14,00:00:00.00,1.8,1.12982
73,2001-03-15,00:00:00.00,3.1,1.1309
74,2001-03-16,00:00:00.00,4.4,1.11983
75,2001-03-17,00:00:00.00,0.4,1.1178
76,2001-03-18,00:00:00.00,12.8,1.14253
77,2001-03-19,00:00:00.00,4.9,1.24394
78,2001-03-20,00:00:00.00,5.8,1.29774
79,2001-03-21,00:00:00.00,0.2,1.28474
80,2001-03-22,00:00:00.00,7.4,1.22886
81,2001-03-23,00:00:00.00,4.1,1.22898
82,2001-03-24,00:00:00.00,9.7,1.35843
83,2001-03-25,00:00:00.00,13.6,1.51449
84,2001-03-26,00:00:00.00,14.6,1.68574
85,2001-03-27,00:00:00.00,0.7,1.75058
86,2001-03-28,00:00:00.00,0,1.66403
87,2001-03-29,00:00:00.00,0,1.59182
88,2001-03-30,00:00:00.00,0,1.54339
89,2001-03-31,00:00:00.00,0.9,1.47498
90,2001-04-01,00:00:00.00,0,1.40193
91,2001-04-02,00:00:00.00,0,1.32453
92,2001-04-03,00:00:00.00,0,1.24486
93,2001-04-04,00:00:00.00,2,1.18011
94,2001-04-05,00:00:00.00,5.4,1.14678
95,2001-04-06,00:00:00.00,0.2,1.1197
96,2001-04-07,00:00:00.00,4.1,1.07821
97,2001-04-08,00:00:00.00,5,1.06519
98,2001-04-09,00:00:00.00,3.9,1.07154
99,2001-04-10,00:00:00.00,0,1.04578
100,2001-04-11,00:00:00.00,1.6,0.994687
