Observation    Measured       Simulated      Weight          Residual   Sensitive
Date20040101  3.000000E-02  4.190150E-01  1.000000E+00  -3.890150E-01      YES
Date20040102  3.000000E-02  3.921270E-01  1.000000E+00  -3.621270E-01      YES
Date20040103  3.000000E-02  3.658870E-01  1.000000E+00  -3.358870E-01      YES
Date20040104  3.000000E-02  3.422890E-01  1.000000E+00  -3.122890E-01      YES
Date20040105  3.000000E-02  3.192380E-01  1.000000E+00  -2.892380E-01      YES
Date20040106  3.000000E-02  2.982910E-01  1.000000E+00  -2.682910E-01      YES
Date20040107  5.000000E-02  2.781980E-01  1.000000E+00  -2.281980E-01      YES
Date20040108  1.000000E-01  2.891720E-01  1.000000E+00  -1.891720E-01      YES
Date20040109  7.000000E-02  3.497820E-01  1.000000E+00  -2.797820E-01      YES
Date20040110  1.600000E-01  4.377640E-01  1.000000E+00  -2.777640E-01      YES
Date20040111  3.400000E-01  5.628860E-01  1.000000E+00  -2.228860E-01      YES
Date20040112  4.600000E-01  7.786390E-01  1.000000E+00  -3.186390E-01      YES
Date20040113  3.400000E-01  1.025610E+00  1.000000E+00  -6.856100E-01      YES
Date20040114  2.900000E-01  1.174630E+00  1.000000E+00  -8.846300E-01      YES
Date20040115  2.900000E-01  1.244110E+00  1.000000E+00  -9.541100E-01      YES
Date20040116  2.900000E-01  1.288980E+00  1.000000E+00  -9.989800E-01      YES
Date20040117  2.000000E-01  1.294390E+00  1.000000E+00  -1.094390E+00      YES
Date20040118  1.600000E-01  1.243320E+00  1.000000E+00  -1.083320E+00      YES
Date20040119  1.300000E-01  1.175040E+00  1.000000E+00  -1.045040E+00      YES
Date20040120  2.000000E-01  1.116240E+00  1.000000E+00  -9.162400E-01      YES
Date20040121  1.600000E-01  1.055430E+00  1.000000E+00  -8.954300E-01      YES
Date20040122  1.300000E-01  9.993400E-01  1.000000E+00  -8.693400E-01      YES
Date20040123  5.000000E-02  9.461100E-01  1.000000E+00  -8.961100E-01      YES
Date20040124  7.000000E-02  8.948000E-01  1.000000E+00  -8.248000E-01      YES
Date20040125  1.000000E-01  8.467270E-01  1.000000E+00  -7.467270E-01      YES
Date20040126  1.000000E-01  8.001690E-01  1.000000E+00  -7.001690E-01      YES
Date20040127  1.000000E-01  7.562430E-01  1.000000E+00  -6.562430E-01      YES
Date20040128  1.000000E-01  7.138850E-01  1.000000E+00  -6.138850E-01      YES
Date20040129  7.000000E-02  6.737760E-01  1.000000E+00  -6.037760E-01      YES
Date20040130  7.000000E-02  6.355630E-01  1.000000E+00  -5.655630E-01      YES
Date20040131  7.000000E-02  5.992770E-01  1.000000E+00  -5.292770E-01      YES
Date20040201  6.600000E-01  6.472290E-01  1.000000E+00  +1.277100E-02      YES
Date20040202  8.700000E-01  9.071000E-01  1.000000E+00  -3.710000E-02      YES
Date20040203  1.110000E+00  1.427890E+00  1.000000E+00  -3.178900E-01      YES
Date20040204  9.300000E-01  1.871310E+00  1.000000E+00  -9.413100E-01      YES
Date20040205  7.600000E-01  1.906920E+00  1.000000E+00  -1.146920E+00      YES
Date20040206  6.600000E-01  1.796930E+00  1.000000E+00  -1.136930E+00      YES
Date20040207  5.600000E-01  1.716480E+00  1.000000E+00  -1.156480E+00      YES
Date20040208  5.200000E-01  1.658090E+00  1.000000E+00  -1.138090E+00      YES
Date20040209  4.600000E-01  1.711520E+00  1.000000E+00  -1.251520E+00      YES
Date20040210  4.000000E-01  1.750900E+00  1.000000E+00  -1.350900E+00      YES
Date20040211  4.600000E-01  1.674010E+00  1.000000E+00  -1.214010E+00      YES
Date20040212  4.000000E-01  1.581110E+00  1.000000E+00  -1.181110E+00      YES
Date20040213  3.400000E-01  1.504800E+00  1.000000E+00  -1.164800E+00      YES
Date20040214  5.200000E-01  1.494330E+00  1.000000E+00  -9.743300E-01      YES
Date20040215  6.100000E-01  1.590620E+00  1.000000E+00  -9.806200E-01      YES
