Observation    Measured       Simulated      Weight          Residual   Sensitive
Date20040216  6.100000E-01  1.659910E+00  1.000000E+00  -1.049910E+00      YES
Date20040217  6.100000E-01  1.668460E+00  1.000000E+00  -1.058460E+00      YES
Date20040218  5.600000E-01  1.638810E+00  1.000000E+00  -1.078810E+00      YES
Date20040219  5.600000E-01  1.559440E+00  1.000000E+00  -9.994400E-01      YES
Date20040220  4.600000E-01  1.477790E+00  1.000000E+00  -1.017790E+00      YES
Date20040221  4.000000E-01  1.402740E+00  1.000000E+00  -1.002740E+00      YES
Date20040222  4.000000E-01  1.345990E+00  1.000000E+00  -9.459900E-01      YES
Date20040223  3.400000E-01  1.315490E+00  1.000000E+00  -9.754900E-01      YES
Date20040224  2.900000E-01  1.272280E+00  1.000000E+00  -9.822800E-01      YES
Date20040225  2.400000E-01  1.206410E+00  1.000000E+00  -9.664100E-01      YES
Date20040226  2.400000E-01  1.141240E+00  1.000000E+00  -9.012400E-01      YES
Date20040227  2.400000E-01  1.079230E+00  1.000000E+00  -8.392300E-01      YES
Date20040228  2.000000E-01  1.019580E+00  1.000000E+00  -8.195800E-01      YES
Date20040229  1.600000E-01  9.626380E-01  1.000000E+00  -8.026380E-01      YES
Date20040301  1.600000E-01  9.082850E-01  1.000000E+00  -7.482850E-01      YES
Date20040302  1.600000E-01  8.565800E-01  1.000000E+00  -6.965800E-01      YES
Date20040303  1.600000E-01  8.359600E-01  1.000000E+00  -6.759600E-01      YES
Date20040304  1.300000E-01  8.351310E-01  1.000000E+00  -7.051310E-01      YES
Date20040305  1.300000E-01  7.977740E-01  1.000000E+00  -6.677740E-01      YES
Date20040306  1.000000E-01  7.464790E-01  1.000000E+00  -6.464790E-01      YES
Date20040307  1.000000E-01  7.053570E-01  1.000000E+00  -6.053570E-01      YES
Date20040308  1.000000E-01  6.620300E-01  1.000000E+00  -5.620300E-01      YES
Date20040309  1.000000E-01  6.219690E-01  1.000000E+00  -5.219690E-01      YES
Date20040310  1.000000E-01  5.835120E-01  1.000000E+00  -4.835120E-01      YES
Date20040311  1.000000E-01  5.468760E-01  1.000000E+00  -4.468760E-01      YES
Date20040312  1.000000E-01  5.287020E-01  1.000000E+00  -4.287020E-01      YES
Date20040313  1.300000E-01  5.945340E-01  1.000000E+00  -4.645340E-01      YES
Date20040314  1.600000E-01  7.996080E-01  1.000000E+00  -6.396080E-01      YES
Date20040315  2.000000E-01  1.068070E+00  1.000000E+00  -8.680700E-01      YES
Date20040316  2.400000E-01  1.220860E+00  1.000000E+00  -9.808600E-01      YES
Date20040317  2.400000E-01  1.195170E+00  1.000000E+00  -9.551700E-01      YES
Date20040318  2.400000E-01  1.120730E+00  1.000000E+00  -8.807300E-01      YES
Date20040319  2.400000E-01  1.059340E+00  1.000000E+00  -8.193400E-01      YES
Date20040320  2.400000E-01  1.011390E+00  1.000000E+00  -7.713900E-01      YES
Date20040321  2.400000E-01  1.035180E+00  1.000000E+00  -7.951800E-01      YES
Date20040322  2.000000E-01  1.072640E+00  1.000000E+00  -8.726400E-01      YES
Date20040323  2.000000E-01  1.031980E+00  1.000000E+00  -8.319800E-01      YES
Date20040324  2.000000E-01  9.782310E-01  1.000000E+00  -7.782310E-01      YES
Date20040325  2.400000E-01  1.039860E+00  1.000000E+00  -7.998600E-01      YES
Date20040326  2.400000E-01  1.143850E+00  1.000000E+00  -9.038500E-01      YES
Date20040327  2.400000E-01  1.116430E+00  1.000000E+00  -8.764300E-01      YES
Date20040328  2.400000E-01  1.037820E+00  1.000000E+00  -7.978200E-01      YES
Date20040329  2.000000E-01  1.004070E+00  1.000000E+00  -8.040700E-01      YES
Date20040330  2.000000E-01  9.705160E-01  1.000000E+00  -7.705160E-01      YES
Date20040331  2.000000E-01  9.191290E-01  1.000000E+00  -7.191290E-01      YES
Date20040401  1.600000E-01  8.585800E-01  1.000000E+00  -6.985800E-01      YES
Date20040402  1.600000E-01  8.031360E-01  1.000000E+00  -6.431360E-01      YES
Date20040403  1.600000E-01  7.483420E-01  1.000000E+00  -5.883420E-01      YES
Date20040404  1.300000E-01  6.944680E-01  1.000000E+00  -5.644680E-01      YES
Date20040405  1.300000E-01  6.584660E-01  1.000000E+00  -5.284660E-01      YES
Date20040406  1.300000E-01  6.452740E-01  1.000000E+00  -5.152740E-01      YES
Date20040407  1.300000E-01  6.304910E-01  1.000000E+00  -5.004910E-01      YES
Date20040408  1.300000E-01  6.010280E-01  1.000000E+00  -4.710280E-01      YES
Date20040409  1.000000E-01  5.658700E-01  1.000000E+00  -4.658700E-01      YES
Date20040410  1.000000E-01  5.253310E-01  1.000000E+00  -4.253310E-01      YES
Date20040411  1.000000E-01  4.994620E-01  1.000000E+00  -3.994620E-01      YES
Date20040412  1.000000E-01  4.818750E-01  1.000000E+00  -3.818750E-01      YES
Date20040413  1.000000E-01  4.447830E-01  1.000000E+00  -3.447830E-01      YES
Date20040414  1.000000E-01  4.022200E-01  1.000000E+00  -3.022200E-01      YES
Date20040415  7.000000E-02  3.644440E-01  1.000000E+00  -2.944440E-01      YES
Date20040416  7.000000E-02  3.261760E-01  1.000000E+00  -2.561760E-01      YES
Date20040417  7.000000E-02  2.894620E-01  1.000000E+00  -2.194620E-01      YES
Date20040418  7.000000E-02  2.537080E-01  1.000000E+00  -1.837080E-01      YES
Date20040419  7.000000E-02  2.238650E-01  1.000000E+00  -1.538650E-01      YES
Date20040420  7.000000E-02  2.114520E-01  1.000000E+00  -1.414520E-01      YES
Date20040421  1.000000E-01  2.031420E-01  1.000000E+00  -1.031420E-01      YES
Date20040422  1.000000E-01  1.795570E-01  1.000000E+00  -7.955700E-02      YES
Date20040423  1.000000E-01  1.530040E-01  1.000000E+00  -5.300400E-02      YES
Date20040424  1.000000E-01  1.369160E-01  1.000000E+00  -3.691600E-02      YES
Date20040425  1.000000E-01  1.445730E-01  1.000000E+00  -4.457300E-02      YES
Date20040426  1.000000E-01  1.615720E-01  1.000000E+00  -6.157200E-02      YES
Date20040427  7.000000E-02  1.541610E-01  1.000000E+00  -8.416100E-02      YES
Date20040428  7.000000E-02  1.360270E-01  1.000000E+00  -6.602700E-02      YES
Date20040429  7.000000E-02  1.201140E-01  1.000000E+00  -5.011400E-02      YES
Date20040430  7.000000E-02  1.041760E-01  1.000000E+00  -3.417600E-02      YES
Date20040501  7.000000E-02  9.056250E-02  1.000000E+00  -2.056250E-02      YES
Date20040502  7.000000E-02  8.051050E-02  1.000000E+00  -1.051050E-02      YES
Date20040503  1.000000E-01  8.040890E-02  1.000000E+00  +1.959110E-02      YES
Date20040504  1.300000E-01  1.056860E-01  1.000000E+00  +2.431400E-02      YES
Date20040505  1.000000E-01  1.372890E-01  1.000000E+00  -3.728900E-02      YES
Date20040506  2.000000E-01  1.518570E-01  1.000000E+00  +4.814300E-02      YES
Date20040507  4.000000E-01  2.744960E-01  1.000000E+00  +1.255040E-01      YES
Date20040508  2.900000E-01  4.538120E-01  1.000000E+00  -1.638120E-01      YES
Date20040509  2.400000E-01  4.649590E-01  1.000000E+00  -2.249590E-01      YES
Date20040510  2.400000E-01  4.265180E-01  1.000000E+00  -1.865180E-01      YES
Date20040511  2.900000E-01  5.750440E-01  1.000000E+00  -2.850440E-01      YES
Date20040512  6.100000E-01  7.787430E-01  1.000000E+00  -1.687430E-01      YES
Date20040513  5.600000E-01  7.896740E-01  1.000000E+00  -2.296740E-01      YES
Date20040514  5.200000E-01  7.488870E-01  1.000000E+00  -2.288870E-01      YES
Date20040515  4.000000E-01  7.546250E-01  1.000000E+00  -3.546250E-01      YES
Date20040516  5.200000E-01  7.569750E-01  1.000000E+00  -2.369750E-01      YES
Date20040517  4.600000E-01  7.872850E-01  1.000000E+00  -3.272850E-01      YES
Date20040518  4.600000E-01  7.559010E-01  1.000000E+00  -2.959010E-01      YES
Date20040519  4.000000E-01  6.901530E-01  1.000000E+00  -2.901530E-01      YES
Date20040520  3.400000E-01  6.443960E-01  1.000000E+00  -3.043960E-01      YES
Date20040521  3.400000E-01  5.892410E-01  1.000000E+00  -2.492410E-01      YES
Date20040522  3.400000E-01  5.444820E-01  1.000000E+00  -2.044820E-01      YES
Date20040523  4.000000E-01  5.204220E-01  1.000000E+00  -1.204220E-01      YES
Date20040524  5.200000E-01  5.522790E-01  1.000000E+00  -3.227900E-02      YES
Date20040525  4.000000E-01  5.907930E-01  1.000000E+00  -1.907930E-01      YES
Date20040526  3.400000E-01  5.687920E-01  1.000000E+00  -2.287920E-01      YES
Date20040527  3.400000E-01  5.405840E-01  1.000000E+00  -2.005840E-01      YES
Date20040528  2.900000E-01  5.168420E-01  1.000000E+00  -2.268420E-01      YES
Date20040529  2.900000E-01  4.715900E-01  1.000000E+00  -1.815900E-01      YES
Date20040530  2.900000E-01  4.262740E-01  1.000000E+00  -1.362740E-01      YES
Date20040531  2.400000E-01  3.827940E-01  1.000000E+00  -1.427940E-01      YES
Date20040601  2.400000E-01  3.415810E-01  1.000000E+00  -1.015810E-01      YES
Date20040602  2.400000E-01  3.097670E-01  1.000000E+00  -6.976700E-02      YES
Date20040603  2.000000E-01  2.855290E-01  1.000000E+00  -8.552900E-02      YES
Date20040604  2.000000E-01  2.621990E-01  1.000000E+00  -6.219900E-02      YES
Date20040605  2.000000E-01  2.366120E-01  1.000000E+00  -3.661200E-02      YES
Date20040606  2.000000E-01  2.205610E-01  1.000000E+00  -2.056100E-02      YES
Date20040607  1.600000E-01  2.027430E-01  1.000000E+00  -4.274300E-02      YES
Date20040608  1.600000E-01  1.699710E-01  1.000000E+00  -9.971000E-03      YES
Date20040609  1.000000E-01  1.347830E-01  1.000000E+00  -3.478300E-02      YES
Date20040610  1.000000E-01  1.045480E-01  1.000000E+00  -4.548000E-03      YES
Date20040611  1.000000E-01  7.958900E-02  1.000000E+00  +2.041100E-02      YES
Date20040612  1.600000E-01  9.924820E-02  1.000000E+00  +6.075180E-02      YES
Date20040613  1.600000E-01  1.859530E-01  1.000000E+00  -2.595300E-02      YES
Date20040614  1.300000E-01  2.449060E-01  1.000000E+00  -1.149060E-01      YES
Date20040615  1.000000E-01  2.256320E-01  1.000000E+00  -1.256320E-01      YES
Date20040616  1.000000E-01  2.034910E-01  1.000000E+00  -1.034910E-01      YES
Date20040617  1.000000E-01  1.936060E-01  1.000000E+00  -9.360600E-02      YES
Date20040618  1.000000E-01  1.758070E-01  1.000000E+00  -7.580700E-02      YES
Date20040619  7.000000E-02  1.613770E-01  1.000000E+00  -9.137700E-02      YES
Date20040620  7.000000E-02  1.415450E-01  1.000000E+00  -7.154500E-02      YES
Date20040621  7.000000E-02  1.162000E-01  1.000000E+00  -4.620000E-02      YES
Date20040622  7.000000E-02  9.497040E-02  1.000000E+00  -2.497040E-02      YES
Date20040623  5.000000E-02  7.889070E-02  1.000000E+00  -2.889070E-02      YES
Date20040624  7.000000E-02  7.066190E-02  1.000000E+00  -6.619000E-04      YES
Date20040625  5.000000E-02  6.218770E-02  1.000000E+00  -1.218770E-02      YES
Date20040626  5.000000E-02  4.527560E-02  1.000000E+00  +4.724400E-03      YES
Date20040627  1.000000E-01  3.028250E-02  1.000000E+00  +6.971750E-02      YES
Date20040628  1.300000E-01  2.360050E-02  1.000000E+00  +1.063995E-01      YES
Date20040629  1.000000E-01  1.931610E-02  1.000000E+00  +8.068390E-02      YES
Date20040630  7.000000E-02  1.428900E-02  1.000000E+00  +5.571100E-02      YES
Date20040701  7.000000E-02  1.015690E-02  1.000000E+00  +5.984310E-02      YES
Date20040702  1.300000E-01  8.298230E-03  1.000000E+00  +1.217018E-01      YES
Date20040703  1.000000E-01  7.514350E-03  1.000000E+00  +9.248565E-02      YES
Date20040704  1.000000E-01  6.170230E-03  1.000000E+00  +9.382977E-02      YES
Date20040705  1.000000E-01  5.180420E-03  1.000000E+00  +9.481958E-02      YES
Date20040706  7.000000E-02  1.663980E-02  1.000000E+00  +5.336020E-02      YES
Date20040707  3.000000E-02  3.490210E-02  1.000000E+00  -4.902100E-03      YES
Date20040708  1.600000E-01  3.132360E-02  1.000000E+00  +1.286764E-01      YES
Date20040709  7.100000E-01  3.758580E-02  1.000000E+00  +6.724142E-01      YES
Date20040710  2.400000E-01  6.422600E-02  1.000000E+00  +1.757740E-01      YES
Date20040711  1.600000E-01  6.333940E-02  1.000000E+00  +9.666060E-02      YES
Date20040712  1.300000E-01  5.109910E-02  1.000000E+00  +7.890090E-02      YES
Date20040713  2.000000E-01  5.465880E-02  1.000000E+00  +1.453412E-01      YES
Date20040714  1.300000E-01  6.628380E-02  1.000000E+00  +6.371620E-02      YES
Date20040715  1.300000E-01  6.966450E-02  1.000000E+00  +6.033550E-02      YES
Date20040716  1.000000E-01  5.805220E-02  1.000000E+00  +4.194780E-02      YES
Date20040717  7.000000E-02  4.363350E-02  1.000000E+00  +2.636650E-02      YES
Date20040718  7.000000E-02  3.058650E-02  1.000000E+00  +3.941350E-02      YES
Date20040719  5.000000E-02  1.976120E-02  1.000000E+00  +3.023880E-02      YES
Date20040720  5.000000E-02  1.108820E-02  1.000000E+00  +3.891180E-02      YES
Date20040721  7.000000E-02  2.817830E-02  1.000000E+00  +4.182170E-02      YES
Date20040722  1.300000E-01  6.442000E-02  1.000000E+00  +6.558000E-02      YES
Date20040723  1.300000E-01  8.527520E-02  1.000000E+00  +4.472480E-02      YES
Date20040724  7.000000E-02  1.012720E-01  1.000000E+00  -3.127200E-02      YES
Date20040725  5.000000E-02  9.393240E-02  1.000000E+00  -4.393240E-02      YES
Date20040726  7.000000E-02  6.976640E-02  1.000000E+00  +2.336000E-04      YES
Date20040727  1.000000E-01  7.410630E-02  1.000000E+00  +2.589370E-02      YES
Date20040728  5.000000E-02  9.249310E-02  1.000000E+00  -4.249310E-02      YES
Date20040729  5.000000E-02  9.258380E-02  1.000000E+00  -4.258380E-02      YES
Date20040730  3.000000E-02  7.302420E-02  1.000000E+00  -4.302420E-02      YES
Date20040731  3.000000E-02  5.426510E-02  1.000000E+00  -2.426510E-02      YES
Date20040801  3.000000E-02  4.015800E-02  1.000000E+00  -1.015800E-02      YES
Date20040802  3.000000E-02  2.734120E-02  1.000000E+00  +2.658800E-03      YES
Date20040803  2.000000E-02  1.767600E-02  1.000000E+00  +2.324000E-03      YES
Date20040804  2.000000E-02  9.215320E-03  1.000000E+00  +1.078468E-02      YES
Date20040805  2.000000E-02  3.532900E-03  1.000000E+00  +1.646710E-02      YES
Date20040806  1.000000E-02  8.705170E-04  1.000000E+00  +9.129483E-03      YES
Date20040807  1.000000E-02  7.522720E-04  1.000000E+00  +9.247728E-03      YES
Date20040808  1.000000E-02  6.103060E-04  1.000000E+00  +9.389694E-03      YES
Date20040809  1.000000E-02  3.237970E-04  1.000000E+00  +9.676203E-03      YES
Date20040810  1.000000E-02  3.618950E-04  1.000000E+00  +9.638105E-03      YES
Date20040811  1.000000E-02  2.475080E-04  1.000000E+00  +9.752492E-03      YES
Date20040812  0.000000E+00  2.731600E-04  1.000000E+00  -2.731600E-04      YES
Date20040813  2.000000E-02  1.333770E-03  1.000000E+00  +1.866623E-02      YES
Date20040814  2.000000E-02  2.914670E-03  1.000000E+00  +1.708533E-02      YES
Date20040815  2.000000E-02  2.494740E-03  1.000000E+00  +1.750526E-02      YES
Date20040816  1.000000E-02  1.278970E-03  1.000000E+00  +8.721030E-03      YES
Date20040817  1.000000E-02  5.359490E-04  1.000000E+00  +9.464051E-03      YES
Date20040818  1.000000E-02  4.193760E-04  1.000000E+00  +9.580624E-03      YES
Date20040819  1.000000E-02  5.692740E-04  1.000000E+00  +9.430726E-03      YES
Date20040820  1.000000E-02  3.441110E-04  1.000000E+00  +9.655889E-03      YES
Date20040821  1.000000E-02  2.593260E-04  1.000000E+00  +9.740674E-03      YES
Date20040822  1.000000E-02  3.012750E-04  1.000000E+00  +9.698725E-03      YES
Date20040823  1.000000E-02  2.591450E-04  1.000000E+00  +9.740855E-03      YES
Date20040824  1.000000E-02  2.388740E-04  1.000000E+00  +9.761126E-03      YES
Date20040825  1.000000E-02  7.847480E-04  1.000000E+00  +9.215252E-03      YES
Date20040826  1.000000E-02  1.202000E-03  1.000000E+00  +8.798000E-03      YES
Date20040827  2.000000E-02  3.066400E-03  1.000000E+00  +1.693360E-02      YES
Date20040828  2.000000E-02  7.157420E-03  1.000000E+00  +1.284258E-02      YES
Date20040829  2.000000E-02  7.722650E-03  1.000000E+00  +1.227735E-02      YES
Date20040830  2.000000E-02  5.458640E-03  1.000000E+00  +1.454136E-02      YES
Date20040831  3.000000E-02  7.418080E-03  1.000000E+00  +2.258192E-02      YES
Date20040901  2.000000E-02  1.014670E-02  1.000000E+00  +9.853300E-03      YES
Date20040902  2.000000E-02  5.866140E-03  1.000000E+00  +1.413386E-02      YES
Date20040903  2.000000E-02  7.935980E-04  1.000000E+00  +1.920640E-02      YES
Date20040904  2.000000E-02  4.425870E-04  1.000000E+00  +1.955741E-02      YES
Date20040905  2.000000E-02  4.273160E-04  1.000000E+00  +1.957268E-02      YES
Date20040906  2.000000E-02  1.897640E-04  1.000000E+00  +1.981024E-02      YES
Date20040907  2.000000E-02  2.228220E-04  1.000000E+00  +1.977718E-02      YES
Date20040908  1.000000E-02  1.400910E-04  1.000000E+00  +9.859909E-03      YES
Date20040909  1.000000E-02  1.551070E-04  1.000000E+00  +9.844893E-03      YES
Date20040910  2.000000E-02  1.007760E-04  1.000000E+00  +1.989922E-02      YES
Date20040911  2.000000E-02  9.481870E-05  1.000000E+00  +1.990518E-02      YES
Date20040912  2.000000E-02  3.212390E-04  1.000000E+00  +1.967876E-02      YES
Date20040913  2.000000E-02  2.057270E-03  1.000000E+00  +1.794273E-02      YES
Date20040914  1.000000E-02  3.085590E-03  1.000000E+00  +6.914410E-03      YES
Date20040915  0.000000E+00  1.309540E-03  1.000000E+00  -1.309540E-03      YES
Date20040916  0.000000E+00  1.194620E-04  1.000000E+00  -1.194620E-04      YES
Date20040917  0.000000E+00  1.712620E-04  1.000000E+00  -1.712620E-04      YES
Date20040918  0.000000E+00  9.661590E-05  1.000000E+00  -9.661590E-05      YES
Date20040919  0.000000E+00  8.283440E-05  1.000000E+00  -8.283440E-05      YES
Date20040920  0.000000E+00  6.961910E-05  1.000000E+00  -6.961910E-05      YES
Date20040921  0.000000E+00  5.378690E-05  1.000000E+00  -5.378690E-05      YES
Date20040922  1.000000E-02  6.547090E-03  1.000000E+00  +3.452910E-03      YES
Date20040923  2.000000E-02  4.014920E-02  1.000000E+00  -2.014920E-02      YES
Date20040924  3.000000E-02  1.045330E-01  1.000000E+00  -7.453300E-02      YES
Date20040925  3.000000E-02  1.824580E-01  1.000000E+00  -1.524580E-01      YES
Date20040926  3.000000E-02  2.458540E-01  1.000000E+00  -2.158540E-01      YES
Date20040927  2.000000E-02  2.586900E-01  1.000000E+00  -2.386900E-01      YES
Date20040928  2.000000E-02  2.416990E-01  1.000000E+00  -2.216990E-01      YES
Date20040929  2.000000E-02  2.313030E-01  1.000000E+00  -2.113030E-01      YES
Date20040930  3.000000E-02  2.423950E-01  1.000000E+00  -2.123950E-01      YES
Date20041001  3.000000E-02  2.614360E-01  1.000000E+00  -2.314360E-01      YES
Date20041002  5.000000E-02  2.454750E-01  1.000000E+00  -1.954750E-01      YES
Date20041003  5.000000E-02  2.327510E-01  1.000000E+00  -1.827510E-01      YES
Date20041004  3.000000E-02  2.390960E-01  1.000000E+00  -2.090960E-01      YES
Date20041005  2.000000E-02  2.197920E-01  1.000000E+00  -1.997920E-01      YES
Date20041006  2.000000E-02  1.936000E-01  1.000000E+00  -1.736000E-01      YES
Date20041007  2.000000E-02  2.017860E-01  1.000000E+00  -1.817860E-01      YES
Date20041008  2.000000E-02  2.255540E-01  1.000000E+00  -2.055540E-01      YES
Date20041009  3.000000E-02  2.253670E-01  1.000000E+00  -1.953670E-01      YES
Date20041010  2.000000E-02  2.185800E-01  1.000000E+00  -1.985800E-01      YES
Date20041011  2.000000E-02  2.035840E-01  1.000000E+00  -1.835840E-01      YES
Date20041012  1.000000E-02  1.783610E-01  1.000000E+00  -1.683610E-01      YES
Date20041013  1.000000E-02  1.607970E-01  1.000000E+00  -1.507970E-01      YES
Date20041014  1.000000E-02  1.419660E-01  1.000000E+00  -1.319660E-01      YES
Date20041015  1.000000E-02  1.242410E-01  1.000000E+00  -1.142410E-01      YES
Date20041016  5.000000E-02  1.301630E-01  1.000000E+00  -8.016300E-02      YES
Date20041017  3.000000E-02  1.637100E-01  1.000000E+00  -1.337100E-01      YES
Date20041018  3.000000E-02  1.810620E-01  1.000000E+00  -1.510620E-01      YES
Date20041019  2.000000E-02  1.704960E-01  1.000000E+00  -1.504960E-01      YES
Date20041020  2.000000E-02  1.550030E-01  1.000000E+00  -1.350030E-01      YES
Date20041021  2.000000E-02  1.497270E-01  1.000000E+00  -1.297270E-01      YES
Date20041022  2.000000E-02  1.532710E-01  1.000000E+00  -1.332710E-01      YES
Date20041023  5.000000E-02  1.399630E-01  1.000000E+00  -8.996300E-02      YES
Date20041024  3.000000E-02  1.199540E-01  1.000000E+00  -8.995400E-02      YES
Date20041025  3.000000E-02  1.051830E-01  1.000000E+00  -7.518300E-02      YES
Date20041026  2.000000E-02  9.332730E-02  1.000000E+00  -7.332730E-02      YES
Date20041027  3.000000E-02  1.176670E-01  1.000000E+00  -8.766700E-02      YES
Date20041028  3.000000E-02  1.616750E-01  1.000000E+00  -1.316750E-01      YES
Date20041029  3.000000E-02  1.655860E-01  1.000000E+00  -1.355860E-01      YES
Date20041030  3.000000E-02  1.559590E-01  1.000000E+00  -1.259590E-01      YES
Date20041031  5.000000E-02  1.606660E-01  1.000000E+00  -1.106660E-01      YES
Date20041101  3.000000E-02  1.530830E-01  1.000000E+00  -1.230830E-01      YES
Date20041102  2.000000E-02  1.406940E-01  1.000000E+00  -1.206940E-01      YES
Date20041103  2.000000E-02  1.396980E-01  1.000000E+00  -1.196980E-01      YES
Date20041104  2.000000E-02  1.375080E-01  1.000000E+00  -1.175080E-01      YES
Date20041105  3.000000E-02  1.283610E-01  1.000000E+00  -9.836100E-02      YES
Date20041106  3.000000E-02  1.218180E-01  1.000000E+00  -9.181800E-02      YES
Date20041107  5.000000E-02  1.574780E-01  1.000000E+00  -1.074780E-01      YES
Date20041108  1.000000E-01  2.565990E-01  1.000000E+00  -1.565990E-01      YES
Date20041109  2.400000E-01  3.928370E-01  1.000000E+00  -1.528370E-01      YES
Date20041110  4.000000E-01  5.705010E-01  1.000000E+00  -1.705010E-01      YES
Date20041111  3.400000E-01  7.029570E-01  1.000000E+00  -3.629570E-01      YES
Date20041112  3.400000E-01  7.304930E-01  1.000000E+00  -3.904930E-01      YES
Date20041113  5.200000E-01  8.107330E-01  1.000000E+00  -2.907330E-01      YES
Date20041114  5.200000E-01  9.352080E-01  1.000000E+00  -4.152080E-01      YES
Date20041115  4.600000E-01  9.479000E-01  1.000000E+00  -4.879000E-01      YES
Date20041116  5.200000E-01  9.045220E-01  1.000000E+00  -3.845220E-01      YES
Date20041117  5.600000E-01  9.215510E-01  1.000000E+00  -3.615510E-01      YES
Date20041118  7.100000E-01  9.915930E-01  1.000000E+00  -2.815930E-01      YES
Date20041119  1.450000E+00  1.227710E+00  1.000000E+00  +2.222900E-01      YES
Date20041120  1.380000E+00  1.516810E+00  1.000000E+00  -1.368100E-01      YES
Date20041121  1.240000E+00  1.491630E+00  1.000000E+00  -2.516300E-01      YES
Date20041122  1.450000E+00  1.378930E+00  1.000000E+00  +7.107000E-02      YES
Date20041123  2.430000E+00  1.544440E+00  1.000000E+00  +8.855600E-01      YES
Date20041124  2.160000E+00  1.913590E+00  1.000000E+00  +2.464100E-01      YES
Date20041125  1.750000E+00  2.062520E+00  1.000000E+00  -3.125200E-01      YES
Date20041126  1.450000E+00  1.951050E+00  1.000000E+00  -5.010500E-01      YES
Date20041127  1.240000E+00  1.861350E+00  1.000000E+00  -6.213500E-01      YES
