time,date,hour,precip [mm/day],KS_53719235 [m3/s]
108,2001-04-19,00:00:00.00,1.5,0.176953
109,2001-04-20,00:00:00.00,0.5,0.157563
110,2001-04-21,00:00:00.00,2.1,0.142634
111,2001-04-22,00:00:00.00,4.6,0.152673
112,2001-04-23,00:00:00.00,1.1,0.172873
113,2001-04-24,00:00:00.00,0,0.147397
114,2001-04-25,00:00:00.00,0,0.115108
115,2001-04-26,00:00:00.00,6.1,0.122286
116,2001-04-27,00:00:00.00,0.9,0.143701
117,2001-04-28,00:00:00.00,1.7,0.127186
118,2001-04-29,00:00:00.00,2.3,0.106226
119,2001-04-30,00:00:00.00,0.5,0.102393
120,2001-05-01,00:00:00.00,0,0.0848948
121,2001-05-02,00:00:00.00,0.8,0.0703996
122,2001-05-03,00:00:00.00,0,0.0610102
123,2001-05-04,00:00:00.00,2.5,0.054075
124,2001-05-05,00:00:00.00,9.6,0.0633625
125,2001-05-06,00:00:00.00,11.1,0.0898279
126,2001-05-07,00:00:00.00,3.5,0.114064
127,2001-05-08,00:00:00.00,0.5,0.103393
128,2001-05-09,00:00:00.00,0.2,0.0748174
129,2001-05-10,00:00:00.00,0,0.0601657
130,2001-05-11,00:00:00.00,0,0.0530955
131,2001-05-12,00:00:00.00,0,0.044007
132,2001-05-13,00:00:00.00,0,0.0368968
133,2001-05-14,00:00:00.00,0,0.0328645
134,2001-05-15,00:00:00.00,0.4,0.0287562
135,2001-05-16,00:00:00.00,2.6,0.0263216
136,2001-05-17,00:00:00.00,0.2,0.0245165
137,2001-05-18,00:00:00.00,5.3,0.024338
138,2001-05-19,00:00:00.00,2.9,0.0263996
139,2001-05-20,00:00:00.00,0,0.0246643
140,2001-05-21,00:00:00.00,0,0.0200991
141,2001-05-22,00:00:00.00,0,0.0173574
142,2001-05-23,00:00:00.00,0,0.01524
143,2001-05-24,00:00:00.00,0,0.014017
144,2001-05-25,00:00:00.00,0,0.0138184
145,2001-05-26,00:00:00.00,0,0.0118834
146,2001-05-27,00:00:00.00,0,0.00928609
147,2001-05-28,00:00:00.00,1.7,0.00829293
148,2001-05-29,00:00:00.00,13.5,0.0140999
149,2001-05-30,00:00:00.00,0,0.0230648
150,2001-05-31,00:00:00.00,0,0.021705
151,2001-06-01,00:00:00.00,6.9,0.0183903
152,2001-06-02,00:00:00.00,1.1,0.0207384
153,2001-06-03,00:00:00.00,2.7,0.0193905
154,2001-06-04,00:00:00.00,7.2,0.0201569
155,2001-06-05,00:00:00.00,7.9,0.0269815
156,2001-06-06,00:00:00.00,0,0.0297893
157,2001-06-07,00:00:00.00,0,0.0295898
158,2001-06-08,00:00:00.00,0.6,0.0302699
159,2001-06-09,00:00:00.00,0.8,0.0258176
160,2001-06-10,00:00:00.00,0,0.0192795
161,2001-06-11,00:00:00.00,10,0.0207406
162,2001-06-12,00:00:00.00,4.4,0.0263578
163,2001-06-13,00:00:00.00,0,0.0258779
164,2001-06-14,00:00:00.00,0,0.0234939
165,2001-06-15,00:00:00.00,0,0.0240258
166,2001-06-16,00:00:00.00,1.3,0.0216025
167,2001-06-17,00:00:00.00,12.7,0.0251174
168,2001-06-18,00:00:00.00,4.5,0.0327848
169,2001-06-19,00:00:00.00,18.9,0.0448048
170,2001-06-20,00:00:00.00,0,0.0578975
171,2001-06-21,00:00:00.00,0,0.0465306
172,2001-06-22,00:00:00.00,11.2,0.0499053
173,2001-06-23,00:00:00.00,17,0.0938362
174,2001-06-24,00:00:00.00,0.4,0.114208
175,2001-06-25,00:00:00.00,0,0.0904886
176,2001-06-26,00:00:00.00,0,0.0717496
177,2001-06-27,00:00:00.00,0,0.0686596
178,2001-06-28,00:00:00.00,0,0.0734303
