Run   obj.function   Kal_POROSITY  Kal_FIELD_CAPACITY  Kal_SAT_WILT  Kal_HBV_BETA  Kal_MAX_CAP_RISE_RATE  Kal_MAX_PERC_RATE  Kal_BASEFLOW_COEFF  Kal_BASEFLOW_N  Kal_SAI_HT_RATIO  Kal_MAX_CAPACITY  Kal_MAX_SNOW_CAPACITY  Kal_RAIN_ICEPT_FACT  Kal_SNOW_ICEPT_FACT  Kal_RAIN_ICEPT_PCT  Kal_SNOW_ICEPT_PCT  Kal_MELT_FACTOR  Kal_MIN_MELT_FACTOR  Kal_HBV_MELT_FOR_CORR  Kal_REFREEZE_FACTOR  Kal_HBV_MELT_ASP_CORR  
17    3.136550E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.996002E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
18    3.136550E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  7.995000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
19    3.136550E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  5.996000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
20    3.136138E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.049900E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
21    3.136961E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  4.950100E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
22    3.135198E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.049900E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
23    3.137904E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  4.950100E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
24    3.136748E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  1.999000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
25    3.135138E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.502000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
26    3.137237E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.895100E-01  9.990000E-01  6.583600E-01  
27    3.136524E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.980020E-01  6.583600E-01  
28    3.136538E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.586050E-01  
29    3.136565E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.581150E-01  
30    3.135927E+02  4.973455E-01  1.161602E-01  1.000000E-03  5.757935E-01  1.121715E+00  1.000000E-03  5.000122E-02  1.000000E+00  1.000044E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000003E-02  5.000037E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583506E-01  
31    3.135926E+02  4.973428E-01  1.161451E-01  1.000000E-03  5.757843E-01  1.121707E+00  1.000000E-03  5.000098E-02  1.000000E+00  1.000040E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000003E-02  5.000034E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583507E-01  
32    3.135927E+02  4.973484E-01  1.161757E-01  1.000000E-03  5.758035E-01  1.121724E+00  1.000000E-03  5.000147E-02  1.000000E+00  1.000048E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000002E-02  5.000040E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583506E-01  
33    3.135765E+02  4.981200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
34    3.136550E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
35    3.136331E+02  4.977200E-01  1.182690E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
36    3.135987E+02  4.977200E-01  1.172710E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
37    3.135817E+02  4.977200E-01  1.177700E-01  1.998000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
38    3.133915E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.806895E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
39    3.138441E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.706905E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
40    3.135707E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.124099E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
41    3.136611E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.119101E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
42    3.161247E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000999E+00  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
43    3.144655E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.049900E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
44    3.127721E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  4.950100E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
45    3.167799E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.009000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
46    3.142425E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.998000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
47    3.136159E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.996002E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
48    3.136159E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.996002E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
49    3.136159E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  7.995000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
50    3.136159E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  5.996000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
51    3.135746E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.049900E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
52    3.136567E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  4.950100E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
53    3.134805E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.049900E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
54    3.137513E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  4.950100E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
55    3.136355E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  1.999000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
56    3.134743E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.502000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
57    3.136845E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.895100E-01  9.990000E-01  6.583600E-01  
58    3.136133E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.980020E-01  6.583600E-01  
59    3.136147E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.586050E-01  
60    3.136172E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.581150E-01  
61    3.135557E+02  4.977533E-01  1.161584E-01  1.000000E-03  5.757866E-01  1.121686E+00  1.000000E-03  5.000256E-02  1.000000E+00  1.000024E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  4.999991E-02  5.000032E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583557E-01  
62    3.135557E+02  4.977507E-01  1.161451E-01  1.000000E-03  5.757787E-01  1.121679E+00  1.000000E-03  5.000232E-02  1.000000E+00  1.000022E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000044E-02  4.999995E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583556E-01  
63    3.135558E+02  4.977562E-01  1.161722E-01  1.000000E-03  5.757952E-01  1.121693E+00  1.000000E-03  5.000283E-02  1.000000E+00  1.000026E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  4.999989E-02  5.000035E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583557E-01  
64    3.136159E+02  4.977200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
65    3.135765E+02  4.981200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
66    3.136550E+02  4.973200E-01  1.177700E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
67    3.136331E+02  4.977200E-01  1.182690E-01  1.000000E-03  5.756900E-01  1.121600E+00  1.000000E-03  5.000000E-02  1.000000E+00  1.000000E-03  2.999000E+00  2.999000E+00  8.000000E-03  6.000000E-03  5.000000E-02  5.000000E-02  2.000000E+00  1.500000E+00  9.900000E-01  9.990000E-01  6.583600E-01  
