time,date,hour,precip [mm/day],KS_53719235 [m3/s]
124,2001-05-05,00:00:00.00,9.6,0.196631
125,2001-05-06,00:00:00.00,11.1,0.193415
126,2001-05-07,00:00:00.00,3.5,0.195928
127,2001-05-08,00:00:00.00,0.5,0.193739
128,2001-05-09,00:00:00.00,0.2,0.181726
129,2001-05-10,00:00:00.00,0,0.167175
130,2001-05-11,00:00:00.00,0,0.154841
131,2001-05-12,00:00:00.00,0,0.142914
132,2001-05-13,00:00:00.00,0,0.132094
133,2001-05-14,00:00:00.00,0,0.12207
134,2001-05-15,00:00:00.00,0.4,0.112752
135,2001-05-16,00:00:00.00,2.6,0.104602
136,2001-05-17,00:00:00.00,0.2,0.0972107
137,2001-05-18,00:00:00.00,5.3,0.0910387
138,2001-05-19,00:00:00.00,2.9,0.0861933
139,2001-05-20,00:00:00.00,0,0.0807739
140,2001-05-21,00:00:00.00,0,0.0745601
141,2001-05-22,00:00:00.00,0,0.0689225
142,2001-05-23,00:00:00.00,0,0.0636787
143,2001-05-24,00:00:00.00,0,0.0588328
144,2001-05-25,00:00:00.00,0,0.0543717
145,2001-05-26,00:00:00.00,0,0.050228
146,2001-05-27,00:00:00.00,0,0.0464206
147,2001-05-28,00:00:00.00,1.7,0.0429531
148,2001-05-29,00:00:00.00,13.5,0.0428402
149,2001-05-30,00:00:00.00,0,0.0445836
150,2001-05-31,00:00:00.00,0,0.0422628
151,2001-06-01,00:00:00.00,6.9,0.0398516
152,2001-06-02,00:00:00.00,1.1,0.0393458
153,2001-06-03,00:00:00.00,2.7,0.0370424
154,2001-06-04,00:00:00.00,7.2,0.0359593
155,2001-06-05,00:00:00.00,7.9,0.037473
156,2001-06-06,00:00:00.00,0,0.0376882
157,2001-06-07,00:00:00.00,0,0.035201
158,2001-06-08,00:00:00.00,0.6,0.0323185
159,2001-06-09,00:00:00.00,0.8,0.0299713
160,2001-06-10,00:00:00.00,0,0.0276479
161,2001-06-11,00:00:00.00,10,0.0276948
162,2001-06-12,00:00:00.00,4.4,0.0298152
163,2001-06-13,00:00:00.00,0,0.0294977
164,2001-06-14,00:00:00.00,0,0.0271216
165,2001-06-15,00:00:00.00,0,0.0251106
166,2001-06-16,00:00:00.00,1.3,0.0232002
167,2001-06-17,00:00:00.00,12.7,0.024224
168,2001-06-18,00:00:00.00,4.5,0.0277172
169,2001-06-19,00:00:00.00,18.9,0.0582185
170,2001-06-20,00:00:00.00,0,0.109526
171,2001-06-21,00:00:00.00,0,0.115583
172,2001-06-22,00:00:00.00,11.2,0.103568
173,2001-06-23,00:00:00.00,17,0.143765
174,2001-06-24,00:00:00.00,0.4,0.199924
175,2001-06-25,00:00:00.00,0,0.201254
176,2001-06-26,00:00:00.00,0,0.177322
177,2001-06-27,00:00:00.00,0,0.167867
178,2001-06-28,00:00:00.00,0,0.153671
179,2001-06-29,00:00:00.00,2.1,0.142194
180,2001-06-30,00:00:00.00,0,0.13212
181,2001-07-01,00:00:00.00,5.1,0.122221
182,2001-07-02,00:00:00.00,0,0.115083
183,2001-07-03,00:00:00.00,0,0.105992
184,2001-07-04,00:00:00.00,0,0.098293
185,2001-07-05,00:00:00.00,0,0.0905168
186,2001-07-06,00:00:00.00,0,0.0838684
187,2001-07-07,00:00:00.00,0,0.0773376
188,2001-07-08,00:00:00.00,24.3,0.0932807
189,2001-07-09,00:00:00.00,4.2,0.126103
190,2001-07-10,00:00:00.00,3.1,0.128165
191,2001-07-11,00:00:00.00,0.2,0.114793
192,2001-07-12,00:00:00.00,0.4,0.10896
193,2001-07-13,00:00:00.00,0,0.0994488
194,2001-07-14,00:00:00.00,0,0.0922121
195,2001-07-15,00:00:00.00,0,0.0853371
196,2001-07-16,00:00:00.00,15.5,0.081988
197,2001-07-17,00:00:00.00,9.7,0.0929899
198,2001-07-18,00:00:00.00,6.3,0.120106
199,2001-07-19,00:00:00.00,1.3,0.139999
200,2001-07-20,00:00:00.00,0,0.133478
201,2001-07-21,00:00:00.00,21.7,0.154671
202,2001-07-22,00:00:00.00,0,0.204509
203,2001-07-23,00:00:00.00,0,0.204005
204,2001-07-24,00:00:00.00,0,0.180241
205,2001-07-25,00:00:00.00,0,0.170734
206,2001-07-26,00:00:00.00,0,0.155922
207,2001-07-27,00:00:00.00,0,0.144607
208,2001-07-28,00:00:00.00,0,0.133743
209,2001-07-29,00:00:00.00,0,0.123161
210,2001-07-30,00:00:00.00,2.3,0.114444
211,2001-07-31,00:00:00.00,0,0.105503
212,2001-08-01,00:00:00.00,3.9,0.0984823
213,2001-08-02,00:00:00.00,0,0.0915417
214,2001-08-03,00:00:00.00,0,0.0850247
215,2001-08-04,00:00:00.00,1.7,0.078318
216,2001-08-05,00:00:00.00,9,0.074389
217,2001-08-06,00:00:00.00,2,0.0717308
218,2001-08-07,00:00:00.00,1.6,0.0670881
219,2001-08-08,00:00:00.00,0,0.0617017
220,2001-08-09,00:00:00.00,0,0.0571572
221,2001-08-10,00:00:00.00,1,0.0527746
222,2001-08-11,00:00:00.00,0,0.0487587
223,2001-08-12,00:00:00.00,0,0.0450896
224,2001-08-13,00:00:00.00,0,0.0416193
225,2001-08-14,00:00:00.00,3.4,0.0389165
226,2001-08-15,00:00:00.00,0,0.0366067
227,2001-08-16,00:00:00.00,0,0.0340021
228,2001-08-17,00:00:00.00,3.2,0.0316844
229,2001-08-18,00:00:00.00,7.5,0.0313846
230,2001-08-19,00:00:00.00,0,0.0314774
231,2001-08-20,00:00:00.00,17.1,0.0337321
232,2001-08-21,00:00:00.00,12.5,0.0638319
233,2001-08-22,00:00:00.00,2.4,0.10896
234,2001-08-23,00:00:00.00,0,0.112717
235,2001-08-24,00:00:00.00,0,0.0979847
236,2001-08-25,00:00:00.00,0,0.093668
237,2001-08-26,00:00:00.00,0,0.0851815
238,2001-08-27,00:00:00.00,0,0.0791
239,2001-08-28,00:00:00.00,6.4,0.0743615
240,2001-08-29,00:00:00.00,0,0.0703048
241,2001-08-30,00:00:00.00,0,0.0657592
242,2001-08-31,00:00:00.00,0,0.0601774
243,2001-09-01,00:00:00.00,7.6,0.0574953
244,2001-09-02,00:00:00.00,13.3,0.0589291
245,2001-09-03,00:00:00.00,0.9,0.0622865
246,2001-09-04,00:00:00.00,4.4,0.0647641
247,2001-09-05,00:00:00.00,1.5,0.0684364
248,2001-09-06,00:00:00.00,0,0.066257
249,2001-09-07,00:00:00.00,2,0.0604016
250,2001-09-08,00:00:00.00,10.3,0.0709886
251,2001-09-09,00:00:00.00,5.1,0.102224
252,2001-09-10,00:00:00.00,14.6,0.156167
253,2001-09-11,00:00:00.00,13.7,0.256138
254,2001-09-12,00:00:00.00,2.2,0.340043
255,2001-09-13,00:00:00.00,3.2,0.343923
256,2001-09-14,00:00:00.00,3.8,0.335018
257,2001-09-15,00:00:00.00,0,0.333311
258,2001-09-16,00:00:00.00,1.1,0.310313
259,2001-09-17,00:00:00.00,2.2,0.286899
260,2001-09-18,00:00:00.00,0.9,0.267881
261,2001-09-19,00:00:00.00,3.8,0.249883
262,2001-09-20,00:00:00.00,1.3,0.236039
263,2001-09-21,00:00:00.00,4.2,0.225602
264,2001-09-22,00:00:00.00,3.1,0.222977
265,2001-09-23,00:00:00.00,0,0.219417
266,2001-09-24,00:00:00.00,3.2,0.207455
267,2001-09-25,00:00:00.00,5.7,0.207854
268,2001-09-26,00:00:00.00,6.5,0.239124
269,2001-09-27,00:00:00.00,0.9,0.271295
270,2001-09-28,00:00:00.00,4.4,0.280942
271,2001-09-29,00:00:00.00,2,0.290706
272,2001-09-30,00:00:00.00,0.4,0.287147
273,2001-10-01,00:00:00.00,3,0.269199
274,2001-10-02,00:00:00.00,2.3,0.263603
275,2001-10-03,00:00:00.00,0,0.253921
276,2001-10-04,00:00:00.00,10,0.261876
277,2001-10-05,00:00:00.00,4.5,0.307813
278,2001-10-06,00:00:00.00,0,0.328518
279,2001-10-07,00:00:00.00,0,0.305335
280,2001-10-08,00:00:00.00,0,0.280839
281,2001-10-09,00:00:00.00,0.4,0.26049
282,2001-10-10,00:00:00.00,0,0.240199
283,2001-10-11,00:00:00.00,0,0.22239
284,2001-10-12,00:00:00.00,0,0.205201
285,2001-10-13,00:00:00.00,0,0.189779
286,2001-10-14,00:00:00.00,0,0.175257
287,2001-10-15,00:00:00.00,0,0.161985
288,2001-10-16,00:00:00.00,0,0.149657
289,2001-10-17,00:00:00.00,0,0.138279
290,2001-10-18,00:00:00.00,0,0.127784
291,2001-10-19,00:00:00.00,0,0.118051
292,2001-10-20,00:00:00.00,0,0.109101
293,2001-10-21,00:00:00.00,0,0.100787
294,2001-10-22,00:00:00.00,3.7,0.0937873
295,2001-10-23,00:00:00.00,4.7,0.0886974
296,2001-10-24,00:00:00.00,0.4,0.0838314
297,2001-10-25,00:00:00.00,1.8,0.077887
298,2001-10-26,00:00:00.00,0,0.0721682
299,2001-10-27,00:00:00.00,0,0.0667905
300,2001-10-28,00:00:00.00,3.5,0.0624759
301,2001-10-29,00:00:00.00,5,0.060784
302,2001-10-30,00:00:00.00,0.8,0.0592989
303,2001-10-31,00:00:00.00,0,0.0553978
304,2001-11-01,00:00:00.00,2.6,0.0520084
305,2001-11-02,00:00:00.00,2.3,0.0507167
306,2001-11-03,00:00:00.00,0.8,0.0489826
307,2001-11-04,00:00:00.00,0,0.0458259
308,2001-11-05,00:00:00.00,0.2,0.042353
309,2001-11-06,00:00:00.00,0.5,0.0392622
310,2001-11-07,00:00:00.00,1.5,0.0370046
311,2001-11-08,00:00:00.00,12.4,0.0663186
312,2001-11-09,00:00:00.00,30.6,0.732085
313,2001-11-10,00:00:00.00,1,1.35516
314,2001-11-11,00:00:00.00,0,0.76635
315,2001-11-12,00:00:00.00,0,0.389353
316,2001-11-13,00:00:00.00,5,0.56908
317,2001-11-14,00:00:00.00,0.3,0.509171
318,2001-11-15,00:00:00.00,0,0.50647
319,2001-11-16,00:00:00.00,1.1,0.469729
