Run   obj.function   Kal_POROSITY  Kal_FIELD_CAPACITY  Kal_SAT_WILT  Kal_HBV_BETA  Kal_MAX_CAP_RISE_RATE  Kal_MAX_PERC_RATE  Kal_BASEFLOW_COEFF  Kal_BASEFLOW_N  
1     1.530605E+02  3.522254E-01  2.147811E-01  9.491597E-01  5.301504E+00  8.288583E+01  1.810970E+02  7.327190E-01  6.124164E+00  
2     1.530605E+02  8.028650E-01  1.758824E-01  6.836468E-01  8.260978E+00  2.969695E+01  3.794894E+02  7.844383E-01  7.271712E+00  
3     1.530605E+02  2.721895E-01  6.793833E-01  1.594397E-01  6.984358E+00  1.339832E+02  3.954254E+02  9.277521E-01  3.887812E+00  
4     1.530605E+02  7.755210E-01  2.599897E-01  9.443451E-01  7.539649E+00  1.973597E+02  2.546814E+02  1.059791E-01  9.244992E+00  
5     1.530605E+02  4.694551E-01  5.513881E-02  4.462606E-01  7.062717E+00  8.267965E+01  1.789878E+02  2.756233E-01  1.351833E+00  
6     1.530605E+02  8.257623E-02  2.613810E-01  6.684119E-01  6.490916E+00  1.881475E+02  4.611906E+02  3.003350E-01  5.671257E+00  
7     1.530605E+02  8.257623E-02  2.613810E-01  6.815479E-01  6.490916E+00  1.881475E+02  2.643264E+02  3.003350E-01  5.671257E+00  
8     1.530605E+02  8.257623E-02  2.613810E-01  6.815479E-01  6.490916E+00  1.881475E+02  3.844019E+02  3.003350E-01  5.671257E+00  
9     1.530605E+02  8.257623E-02  2.613810E-01  6.815479E-01  6.490916E+00  1.881475E+02  3.844019E+02  3.003350E-01  5.671257E+00  
