time,date,hour,precip [mm/day],KS_53719235 [m3/s]
108,2001-04-19,00:00:00.00,1.5,0.257789
109,2001-04-20,00:00:00.00,0.5,0.238545
110,2001-04-21,00:00:00.00,2.1,0.215723
111,2001-04-22,00:00:00.00,4.6,0.228612
112,2001-04-23,00:00:00.00,1.1,0.249071
113,2001-04-24,00:00:00.00,0,0.221763
114,2001-04-25,00:00:00.00,0,0.18572
115,2001-04-26,00:00:00.00,6.1,0.191719
116,2001-04-27,00:00:00.00,0.9,0.220809
117,2001-04-28,00:00:00.00,1.7,0.195448
118,2001-04-29,00:00:00.00,2.3,0.169187
119,2001-04-30,00:00:00.00,0.5,0.17035
120,2001-05-01,00:00:00.00,0,0.150069
121,2001-05-02,00:00:00.00,0.8,0.132015
122,2001-05-03,00:00:00.00,0,0.115279
123,2001-05-04,00:00:00.00,2.5,0.11215
124,2001-05-05,00:00:00.00,9.6,0.126498
125,2001-05-06,00:00:00.00,11.1,0.150656
126,2001-05-07,00:00:00.00,3.5,0.177117
127,2001-05-08,00:00:00.00,0.5,0.16115
128,2001-05-09,00:00:00.00,0.2,0.130852
129,2001-05-10,00:00:00.00,0,0.120631
130,2001-05-11,00:00:00.00,0,0.107181
131,2001-05-12,00:00:00.00,0,0.0910064
132,2001-05-13,00:00:00.00,0,0.0812072
133,2001-05-14,00:00:00.00,0,0.0766178
134,2001-05-15,00:00:00.00,0.4,0.0729752
135,2001-05-16,00:00:00.00,2.6,0.063969
136,2001-05-17,00:00:00.00,0.2,0.0636484
137,2001-05-18,00:00:00.00,5.3,0.0682365
138,2001-05-19,00:00:00.00,2.9,0.0643013
139,2001-05-20,00:00:00.00,0,0.0612828
140,2001-05-21,00:00:00.00,0,0.0571421
141,2001-05-22,00:00:00.00,0,0.050721
142,2001-05-23,00:00:00.00,0,0.0444295
143,2001-05-24,00:00:00.00,0,0.0450233
144,2001-05-25,00:00:00.00,0,0.0460442
145,2001-05-26,00:00:00.00,0,0.0374624
146,2001-05-27,00:00:00.00,0,0.0370558
147,2001-05-28,00:00:00.00,1.7,0.0385617
148,2001-05-29,00:00:00.00,13.5,0.044514
149,2001-05-30,00:00:00.00,0,0.0578584
150,2001-05-31,00:00:00.00,0,0.052098
151,2001-06-01,00:00:00.00,6.9,0.049524
152,2001-06-02,00:00:00.00,1.1,0.0572515
153,2001-06-03,00:00:00.00,2.7,0.0463555
154,2001-06-04,00:00:00.00,7.2,0.0495326
155,2001-06-05,00:00:00.00,7.9,0.0661753
156,2001-06-06,00:00:00.00,0,0.0600158
157,2001-06-07,00:00:00.00,0,0.0576175
158,2001-06-08,00:00:00.00,0.6,0.0568855
159,2001-06-09,00:00:00.00,0.8,0.0462026
160,2001-06-10,00:00:00.00,0,0.0403205
161,2001-06-11,00:00:00.00,10,0.0487742
162,2001-06-12,00:00:00.00,4.4,0.0603366
163,2001-06-13,00:00:00.00,0,0.0533784
164,2001-06-14,00:00:00.00,0,0.0516088
165,2001-06-15,00:00:00.00,0,0.0507692
166,2001-06-16,00:00:00.00,1.3,0.0477721
167,2001-06-17,00:00:00.00,12.7,0.0603254
168,2001-06-18,00:00:00.00,4.5,0.0673636
169,2001-06-19,00:00:00.00,18.9,0.0839313
170,2001-06-20,00:00:00.00,0,0.0960938
171,2001-06-21,00:00:00.00,0,0.071261
172,2001-06-22,00:00:00.00,11.2,0.0822138
173,2001-06-23,00:00:00.00,17,0.128708
174,2001-06-24,00:00:00.00,0.4,0.128258
175,2001-06-25,00:00:00.00,0,0.108532
176,2001-06-26,00:00:00.00,0,0.0965842
177,2001-06-27,00:00:00.00,0,0.0835384
178,2001-06-28,00:00:00.00,0,0.0827661
179,2001-06-29,00:00:00.00,2.1,0.0815202
180,2001-06-30,00:00:00.00,0,0.0661049
181,2001-07-01,00:00:00.00,5.1,0.068101
182,2001-07-02,00:00:00.00,0,0.079266
183,2001-07-03,00:00:00.00,0,0.057528
184,2001-07-04,00:00:00.00,0,0.0516129
185,2001-07-05,00:00:00.00,0,0.0585697
186,2001-07-06,00:00:00.00,0,0.0490055
187,2001-07-07,00:00:00.00,0,0.047999
188,2001-07-08,00:00:00.00,24.3,0.0818166
189,2001-07-09,00:00:00.00,4.2,0.121474
190,2001-07-10,00:00:00.00,3.1,0.0896468
191,2001-07-11,00:00:00.00,0.2,0.0639502
192,2001-07-12,00:00:00.00,0.4,0.0699956
193,2001-07-13,00:00:00.00,0,0.0559313
194,2001-07-14,00:00:00.00,0,0.0525405
195,2001-07-15,00:00:00.00,0,0.057009
196,2001-07-16,00:00:00.00,15.5,0.0708268
197,2001-07-17,00:00:00.00,9.7,0.0747625
198,2001-07-18,00:00:00.00,6.3,0.0760554
199,2001-07-19,00:00:00.00,1.3,0.0903085
200,2001-07-20,00:00:00.00,0,0.0805424
201,2001-07-21,00:00:00.00,21.7,0.0985121
202,2001-07-22,00:00:00.00,0,0.129727
203,2001-07-23,00:00:00.00,0,0.0952837
204,2001-07-24,00:00:00.00,0,0.0698543
205,2001-07-25,00:00:00.00,0,0.0724525
206,2001-07-26,00:00:00.00,0,0.0647618
207,2001-07-27,00:00:00.00,0,0.0614803
208,2001-07-28,00:00:00.00,0,0.0564401
