time,date,hour,precip [mm/day],KS_53719235 [m3/s]
0,2001-01-01,00:00:00.00,---,0.486143
1,2001-01-02,00:00:00.00,0.9,0.318517
2,2001-01-03,00:00:00.00,0.5,0.0754606
3,2001-01-04,00:00:00.00,0,0.000328602
4,2001-01-05,00:00:00.00,0,0.000512909
5,2001-01-06,00:00:00.00,6.1,0.00196617
6,2001-01-07,00:00:00.00,0.5,0.00442205
7,2001-01-08,00:00:00.00,0,0.00450765
8,2001-01-09,00:00:00.00,0,0.00370412
9,2001-01-10,00:00:00.00,0.6,0.00346251
10,2001-01-11,00:00:00.00,3.4,0.00365514
11,2001-01-12,00:00:00.00,0,0.00433662
12,2001-01-13,00:00:00.00,0,0.00408734
13,2001-01-14,00:00:00.00,0,0.00351376
14,2001-01-15,00:00:00.00,0,0.0032017
15,2001-01-16,00:00:00.00,0,0.0028162
16,2001-01-17,00:00:00.00,0,0.00252655
17,2001-01-18,00:00:00.00,0,0.00224484
18,2001-01-19,00:00:00.00,1.5,0.00200126
19,2001-01-20,00:00:00.00,0,0.00178473
20,2001-01-21,00:00:00.00,0,0.00158794
21,2001-01-22,00:00:00.00,0,0.00141732
22,2001-01-23,00:00:00.00,0,0.00126563
23,2001-01-24,00:00:00.00,1.2,0.00128927
24,2001-01-25,00:00:00.00,5.8,0.00292957
25,2001-01-26,00:00:00.00,2.8,0.00595274
26,2001-01-27,00:00:00.00,0,0.00717305
27,2001-01-28,00:00:00.00,0,0.00644749
28,2001-01-29,00:00:00.00,0,0.00570509
29,2001-01-30,00:00:00.00,0,0.0051108
30,2001-01-31,00:00:00.00,4.7,0.00453654
31,2001-02-01,00:00:00.00,2.4,0.00405272
32,2001-02-02,00:00:00.00,9.8,0.00360563
33,2001-02-03,00:00:00.00,5.7,0.00321524
34,2001-02-04,00:00:00.00,7,0.00286443
35,2001-02-05,00:00:00.00,9,0.00330493
36,2001-02-06,00:00:00.00,1.8,0.0857882
37,2001-02-07,00:00:00.00,0,0.291985
38,2001-02-08,00:00:00.00,0,0.42043
39,2001-02-09,00:00:00.00,0,0.387276
40,2001-02-10,00:00:00.00,1,0.339652
41,2001-02-11,00:00:00.00,0,0.309217
42,2001-02-12,00:00:00.00,0,0.274457
43,2001-02-13,00:00:00.00,2.6,0.247323
44,2001-02-14,00:00:00.00,0,0.224388
45,2001-02-15,00:00:00.00,0,0.201402
46,2001-02-16,00:00:00.00,0,0.178754
47,2001-02-17,00:00:00.00,0,0.159583
48,2001-02-18,00:00:00.00,1.8,0.14228
49,2001-02-19,00:00:00.00,1.6,0.128386
50,2001-02-20,00:00:00.00,1.2,0.117702
51,2001-02-21,00:00:00.00,1.2,0.10827
52,2001-02-22,00:00:00.00,3.4,0.105428
53,2001-02-23,00:00:00.00,26.6,0.181627
54,2001-02-24,00:00:00.00,10,0.306535
55,2001-02-25,00:00:00.00,0,0.310919
56,2001-02-26,00:00:00.00,0,0.257432
57,2001-02-27,00:00:00.00,0,0.238558
58,2001-02-28,00:00:00.00,0,0.209136
59,2001-03-01,00:00:00.00,0,0.186838
60,2001-03-02,00:00:00.00,0,0.167336
61,2001-03-03,00:00:00.00,0,0.147794
62,2001-03-04,00:00:00.00,11.5,0.133014
63,2001-03-05,00:00:00.00,8.6,0.128473
64,2001-03-06,00:00:00.00,1.1,0.135102
65,2001-03-07,00:00:00.00,0,0.124852
66,2001-03-08,00:00:00.00,1,0.145425
67,2001-03-09,00:00:00.00,7.5,0.385929
68,2001-03-10,00:00:00.00,2.9,0.86783
69,2001-03-11,00:00:00.00,3.1,1.16425
70,2001-03-12,00:00:00.00,1.8,1.12137
71,2001-03-13,00:00:00.00,12.5,1.1286
72,2001-03-14,00:00:00.00,1.8,1.22423
73,2001-03-15,00:00:00.00,3.1,1.17752
74,2001-03-16,00:00:00.00,4.4,1.11078
75,2001-03-17,00:00:00.00,0.4,1.07375
76,2001-03-18,00:00:00.00,12.8,1.08127
77,2001-03-19,00:00:00.00,4.9,1.20365
78,2001-03-20,00:00:00.00,5.8,1.25453
79,2001-03-21,00:00:00.00,0.2,1.20072
80,2001-03-22,00:00:00.00,7.4,1.0943
81,2001-03-23,00:00:00.00,4.1,1.06356
82,2001-03-24,00:00:00.00,9.7,1.22681
83,2001-03-25,00:00:00.00,13.6,1.46239
84,2001-03-26,00:00:00.00,14.6,1.71046
85,2001-03-27,00:00:00.00,0.7,1.75905
86,2001-03-28,00:00:00.00,0,1.5764
87,2001-03-29,00:00:00.00,0,1.41998
88,2001-03-30,00:00:00.00,0,1.3061
89,2001-03-31,00:00:00.00,0.9,1.18911
90,2001-04-01,00:00:00.00,0,1.06996
91,2001-04-02,00:00:00.00,0,0.954338
92,2001-04-03,00:00:00.00,0,0.849986
93,2001-04-04,00:00:00.00,2,0.760754
94,2001-04-05,00:00:00.00,5.4,0.69308
95,2001-04-06,00:00:00.00,0.2,0.633752
96,2001-04-07,00:00:00.00,4.1,0.574898
97,2001-04-08,00:00:00.00,5,0.534404
98,2001-04-09,00:00:00.00,3.9,0.510718
99,2001-04-10,00:00:00.00,0,0.477655
100,2001-04-11,00:00:00.00,1.6,0.433031
101,2001-04-12,00:00:00.00,1.5,0.393869
102,2001-04-13,00:00:00.00,1.5,0.360997
103,2001-04-14,00:00:00.00,6,0.332405
104,2001-04-15,00:00:00.00,3.2,0.311015
105,2001-04-16,00:00:00.00,6.6,0.341092
106,2001-04-17,00:00:00.00,1.8,0.426836
107,2001-04-18,00:00:00.00,1,0.452092
108,2001-04-19,00:00:00.00,1.5,0.419933
109,2001-04-20,00:00:00.00,0.5,0.393659
110,2001-04-21,00:00:00.00,2.1,0.362885
111,2001-04-22,00:00:00.00,4.6,0.354854
112,2001-04-23,00:00:00.00,1.1,0.358422
113,2001-04-24,00:00:00.00,0,0.335233
114,2001-04-25,00:00:00.00,0,0.298673
115,2001-04-26,00:00:00.00,6.1,0.280566
116,2001-04-27,00:00:00.00,0.9,0.274713
117,2001-04-28,00:00:00.00,1.7,0.254103
118,2001-04-29,00:00:00.00,2.3,0.232641
119,2001-04-30,00:00:00.00,0.5,0.214726
120,2001-05-01,00:00:00.00,0,0.191651
121,2001-05-02,00:00:00.00,0.8,0.170598
122,2001-05-03,00:00:00.00,0,0.152294
123,2001-05-04,00:00:00.00,2.5,0.136346
124,2001-05-05,00:00:00.00,9.6,0.127925
125,2001-05-06,00:00:00.00,11.1,0.131278
126,2001-05-07,00:00:00.00,3.5,0.14238
127,2001-05-08,00:00:00.00,0.5,0.146185
128,2001-05-09,00:00:00.00,0.2,0.134589
129,2001-05-10,00:00:00.00,0,0.118874
130,2001-05-11,00:00:00.00,0,0.106438
131,2001-05-12,00:00:00.00,0,0.0946423
132,2001-05-13,00:00:00.00,0,0.0843679
133,2001-05-14,00:00:00.00,0,0.0752233
134,2001-05-15,00:00:00.00,0.4,0.066953
135,2001-05-16,00:00:00.00,2.6,0.0602972
136,2001-05-17,00:00:00.00,0.2,0.0545505
137,2001-05-18,00:00:00.00,5.3,0.0503966
138,2001-05-19,00:00:00.00,2.9,0.0479329
139,2001-05-20,00:00:00.00,0,0.0443822
140,2001-05-21,00:00:00.00,0,0.0394397
141,2001-05-22,00:00:00.00,0,0.0351861
142,2001-05-23,00:00:00.00,0,0.0313465
143,2001-05-24,00:00:00.00,0,0.0279229
144,2001-05-25,00:00:00.00,0,0.0248983
145,2001-05-26,00:00:00.00,0,0.02217
