time [d],date,hour,day_angle, rain [mm/d], snow [mm/d], temp [C], temp_daily_min [C], temp_daily_max [C],temp_daily_ave [C],temp_monthly_min [C],temp_monthly_max [C], air dens. [kg/m3], air pres. [KPa], rel hum. [-], cloud cover [-], ET radiation [MJ/m2/d], SW radiation [MJ/m2/d], net SW radiation [MJ/m2/d], LW radiation [MJ/m2/d], wind vel. [m/s], PET [mm/d], OW PET [mm/d], daily correction [-], potential melt [mm/d]
0,2001-01-01,00:00:00.00,0.0086071,0.9,0,0.8,-8.9,3.4,0.8,0,0,1.2244,96.5294,0.5,0,8.0445,5.47407,4.66831,-0.334864,2,0.48259,0.48259,1,2.63704
1,2001-01-02,00:00:00.00,0.0086071,0.9,0,0.8,-8.9,3.4,0.8,0,0,1.2244,96.5294,0.5,0,8.0445,5.47407,4.66831,-0.334864,2,0.48259,0.48259,1,2.63704
2,2001-01-03,00:00:00.00,0.0258213,0.5,0,2.6,0.3,3.6,2.6,0,0,1.21637,96.5599,0.5,0,8.09709,5.48274,4.67571,-0.327746,2,0.27595,0.27595,1,8.56495
3,2001-01-04,00:00:00.00,0.0430355,0,0,3.9,1.4,7.6,3.9,0,0,1.2106,96.5817,0.5,0,8.15406,5.50176,4.69194,-0.322171,2,0.405176,0.405176,1,12.8386
4,2001-01-05,00:00:00.00,0.0602497,0,0,3.2,-1.7,7.4,3.2,0,0,1.2137,96.57,0.5,0,8.21541,5.56308,4.74423,-0.325218,2,0.478612,0.478612,1,10.5264
5,2001-01-06,00:00:00.00,0.0774639,6.1,0,6,2.4,7.8,6,0,0,1.20133,96.6165,0.5,0,8.28114,5.55563,4.73788,-0.312373,2,0.42119,0.42119,1,19.7211
6,2001-01-07,00:00:00.00,0.0946781,0.5,0,6.8,5.4,10.9,6.8,0,0,1.19781,96.6296,0.5,0,8.35125,5.59144,4.76842,-0.308377,2,0.44308,0.44308,1,22.3314
7,2001-01-08,00:00:00.00,0.111892,0,0,3.9,2.8,6.5,3.9,0,0,1.2106,96.5817,0.5,0,8.42576,5.71227,4.87147,-0.322171,2,0.323433,0.323433,1,12.796
8,2001-01-09,00:00:00.00,0.129107,0,0,2.4,1.2,4.8,2.4,0,0,1.21726,96.5565,0.5,0,8.50467,5.80348,4.94924,-0.328571,2,0.29976,0.29976,1,7.8668
9,2001-01-10,00:00:00.00,0.146321,0.3,0.3,1.6,-0.9,2.8,1.6,0,0,1.22083,96.543,0.5,0,8.58797,5.8837,5.01765,-0.331785,2,0.294718,0.294718,1,5.23914
10,2001-01-11,00:00:00.00,0.163535,1.7,1.7,0.8,-2.1,3.4,0.8,0,0,1.2244,96.5294,0.5,0,8.67568,5.96708,5.08874,-0.334864,2,0.348026,0.348026,1,2.61673
11,2001-01-12,00:00:00.00,0.180749,0,0,-1.6,-3.6,1.2,-1.6,0,0,1.23524,96.4881,0.5,0,8.76779,6.08087,5.18078,-0.345132,2,0.28618,0.28618,1,-5.22748
12,2001-01-13,00:00:00.00,0.197963,0,0,-2.4,-4.9,-0.4,-2.4,0,0,1.23888,96.4741,0.5,0,8.8643,6.16987,5.25657,-0.348546,2,0.266309,0.266309,1,-7.83184
